,Date Rptd,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street
0,2/20/2010 0:00,Newton,VIOLATION OF COURT ORDER,48,M,H,SINGLE FAMILY DWELLING,,Adult Arrest,300 E  GAGE                         AV,
1,1/16/2010 0:00,Central,BOMB SCARE,29,F,B,LIBRARY,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,600 W  5TH                          ST,
2,1/16/2010 0:00,Central,ROBBERY,47,M,A,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1ST,LOS ANGELES
3,1/17/2010 0:00,Central,OTHER MISCELLANEOUS CRIME,41,M,W,ALLEY,,Invest Cont,300 E  OLYMPIC                      BL,
4,1/23/2010 0:00,Central,CHILD NEGLECT (SEE 300 W.I.C.),11,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,1300 S  FLOWER                       ST,
5,1/23/2010 0:00,Central,ROBBERY,50,M,W,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600    SAN JULIAN                   ST,
6,1/23/2010 0:00,Central,INTIMATE PARTNER - AGGRAVATED ASSAULT,18,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,200 S  GRAND                        AV,
7,1/26/2010 0:00,Central,ROBBERY,37,M,H,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,800 N  ALAMEDA                      ST,
8,1/28/2010 0:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,28,M,O,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  GRAND                        AV,
9,1/30/2010 0:00,Central,BURGLARY FROM VEHICLE,25,F,W,STREET,,Invest Cont,800    TRACTION                     AV,
10,1/31/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),31,M,H,RESTAURANT/FAST FOOD,,Invest Cont,600 E  2ND                          ST,
11,1/31/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,36,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1400 S  HOPE                         ST,
12,2/1/2010 0:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",61,F,B,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,600 S  SAN PEDRO                    ST,
13,2/1/2010 0:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,50,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,200 W  6TH                          ST,
14,2/1/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,40,M,W,BAR/COCKTAIL/NIGHTCLUB,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,5TH,LOS ANGELES
15,2/1/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36,M,W,OTHER PREMISE,,Adult Arrest,1100 S  FIGUEROA                     ST,
16,2/5/2010 0:00,Central,OTHER MISCELLANEOUS CRIME,27,M,H,OTHER PREMISE,,Invest Cont,1200    MAPLE                        AV,
17,2/2/2010 0:00,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,48,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",VERBAL THREAT,Adult Other,6TH,CERES
18,2/5/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,32,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,SAN JULIAN                   ST,5TH                          ST
19,2/6/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,36,F,H,BAR/COCKTAIL/NIGHTCLUB,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 W  OLYMPIC                      BL,
20,2/5/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,45,F,B,HOTEL,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 S  MAIN                         ST,
21,2/10/2010 0:00,Central,BURGLARY FROM VEHICLE,22,F,W,PARKING LOT,,Invest Cont,1200 S  FLOWER                       ST,
22,2/8/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),23,M,H,OTHER BUSINESS,,Adult Arrest,700 W  7TH                          ST,
23,2/11/2010 0:00,Central,ATTEMPTED ROBBERY,27,M,H,RESTAURANT/FAST FOOD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,6TH                          ST,FLOWER
24,2/11/2010 0:00,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,B,DEPARTMENT STORE,,Adult Arrest,700 W  7TH                          ST,
25,2/11/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,H,SIDEWALK,,Adult Arrest,PICO,GRAND
26,2/13/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,24,M,O,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 W  OLYMPIC                      BL,
27,2/13/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),22,F,W,RESTAURANT/FAST FOOD,,Adult Arrest,700 E  CESAR E CHAVEZ               AV,
28,2/15/2010 0:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,500    STANFORD                     AV,
29,2/15/2010 0:00,Central,ROBBERY,22,F,O,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1ST                          ST,HILL                         ST
30,2/16/2010 0:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,22,F,H,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 E  4TH                          ST,
31,2/17/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),35,M,H,OTHER STORE,,Invest Cont,500 S  BROADWAY,
32,2/20/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,44,M,O,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,700 S  HOPE                         ST,
33,2/20/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,50,M,O,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,700 S  HOPE                         ST,
