AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street,Month
Newton,VIOLATION OF COURT ORDER,48.0,M,SINGLE FAMILY DWELLING,,Adult Arrest,300 E  GAGE                         AV,,02
Central,BOMB SCARE,29.0,F,LIBRARY,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,600 W  5TH                          ST,,01
Central,ROBBERY,47.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1ST,LOS ANGELES,01
Central,OTHER MISCELLANEOUS CRIME,41.0,M,ALLEY,,Invest Cont,300 E  OLYMPIC                      BL,,01
Central,CHILD NEGLECT (SEE 300 W.I.C.),11.0,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,1300 S  FLOWER                       ST,,01
Central,ROBBERY,50.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600    SAN JULIAN                   ST,,01
Central,INTIMATE PARTNER - AGGRAVATED ASSAULT,18.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,200 S  GRAND                        AV,,01
Central,ROBBERY,37.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,800 N  ALAMEDA                      ST,,01
Central,INTIMATE PARTNER - SIMPLE ASSAULT,28.0,M,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  GRAND                        AV,,01
Central,BURGLARY FROM VEHICLE,25.0,F,STREET,,Invest Cont,800    TRACTION                     AV,,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),31.0,M,RESTAURANT/FAST FOOD,,Invest Cont,600 E  2ND                          ST,,01
Central,BATTERY - SIMPLE ASSAULT,36.0,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1400 S  HOPE                         ST,,01
