,Entity,Code,Year,Deaths,Births,Continent
225,China,CHN,2019,10128803.0,14615866.0,Asia
226,China,CHN,2020,10411387.0,11843469.0,Asia
227,China,CHN,2021,10759523.0,10461124.0,Asia
228,China,CHN,2022,10998724.0,9455320.0,Asia
229,China,CHN,2023,11684178.0,8899881.0,Asia
380,France,FRA,2019,608888.0,711582.0,Europe
381,France,FRA,2020,664553.0,695934.0,Europe
382,France,FRA,2021,654168.0,702274.0,Europe
383,France,FRA,2022,658801.0,687577.0,Europe
384,France,FRA,2023,616096.0,638891.0,Europe
410,Germany,DEU,2019,946647.0,778799.0,Europe
411,Germany,DEU,2020,990849.0,795669.0,Europe
412,Germany,DEU,2021,956995.0,775669.0,Europe
413,Germany,DEU,2022,1082759.0,730553.0,Europe
414,Germany,DEU,2023,1034137.94,719249.0,Europe
425,Greece,GRC,2019,126944.0,83587.0,Europe
426,Greece,GRC,2020,122910.0,84746.0,Europe
427,Greece,GRC,2021,133681.0,86163.0,Europe
428,Greece,GRC,2022,146529.0,74165.0,Europe
429,Greece,GRC,2023,127016.0,73661.0,Europe
505,India,IND,2019,9264486.0,24124982.0,Asia
506,India,IND,2020,10118286.0,23485340.0,Asia
507,India,IND,2021,13093783.0,23321854.0,Asia
508,India,IND,2022,9373180.0,23286124.0,Asia
509,India,IND,2023,9507013.0,23219488.0,Asia
510,Indonesia,IDN,2019,2059519.0,4607562.0,Asia
511,Indonesia,IDN,2020,2430253.0,4582350.0,Asia
512,Indonesia,IDN,2021,2779186.0,4543453.0,Asia
513,Indonesia,IDN,2022,2088877.9,4518308.0,Asia
514,Indonesia,IDN,2023,2117709.0,4482359.0,Asia
540,Italy,ITA,2019,643912.0,419609.0,Europe
541,Italy,ITA,2020,750382.0,408035.0,Europe
542,Italy,ITA,2021,674149.0,407050.0,Europe
543,Italy,ITA,2022,741667.0,399735.0,Europe
544,Italy,ITA,2023,663444.0,384627.0,Europe
835,Nigeria,NGA,2019,2656000.0,7266105.0,Africa
836,Nigeria,NGA,2020,2693279.0,7218484.0,Africa
837,Nigeria,NGA,2021,2689258.0,7330875.0,Africa
838,Nigeria,NGA,2022,2667409.0,7406815.0,Africa
839,Nigeria,NGA,2023,2675439.0,7509758.0,Africa
1085,Spain,ESP,2019,418411.0,357540.0,Europe
1086,Spain,ESP,2020,495379.0,343355.0,Europe
1087,Spain,ESP,2021,457182.0,340310.0,Europe
1088,Spain,ESP,2022,481525.0,339675.0,Europe
1089,Spain,ESP,2023,447467.0,336821.0,Europe
1200,United Kingdom,GBR,2019,605256.0,714388.0,Europe
1201,United Kingdom,GBR,2020,691536.0,687269.0,Europe
1202,United Kingdom,GBR,2021,662083.0,693027.0,Europe
1203,United Kingdom,GBR,2022,648523.0,688630.0,Europe
1204,United Kingdom,GBR,2023,653745.0,688388.0,Europe
